track_id,artist_1,artist_2,artist_3,track_name,popularity,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
1g6m5ehao5J3D2lz0H2Cfp,Boris Christoff,None,None,Il Barbiere di Siviglia: La calunnia è un venticello Aria,0,2018-05-14T13:00:05Z,0.34400000000000003,0.225,0,-18.613,1,0.12,0.975,0.00534,0.677,0.295,86.564,258042,4
4gLFnelCqufwtL7axW3ieb,Fiki,None,None,"Hayde, Slantse",19,2018-12-31T14:00:03Z,0.648,0.806,7,-5.32,0,0.0439,0.00572,0.0027500000000000003,0.0918,0.531,93.001,240000,4
2BOZL9jyfzIjAn1DTfOMce,Vanya,None,None,Vtori zhivot,0,2018-04-27T10:06:50Z,0.746,0.847,0,-4.592,1,0.09090000000000001,0.005260000000000001,0.0,0.403,0.6900000000000001,96.007,201250,4
60KZq4gp7qVikyxBLv7Mc6,Gloria,None,None,Lyubovta Nastoyava,5,2018-10-01T10:58:29Z,0.662,0.514,6,-8.056,0,0.031200000000000002,0.34600000000000003,0.0,0.0956,0.322,140.012,228989,4
5SjqEnMujXkwVcvxNTEetP,Lazar,Gergana,None,Ako nyamam teb,4,2018-05-23T13:31:18Z,0.756,0.811,10,-6.608,1,0.0521,0.266,2.2300000000000003e-05,0.385,0.47600000000000003,90.026,245333,4
1AZgTZAnKhbhIzqKEnKOqu,Tove Lo,None,None,Passion and Pain Taste the Same When I’m Weak,46,2018-04-26T13:00:02Z,0.646,0.389,10,-8.256,1,0.053,0.742,0.0,0.114,0.184,120.478,240151,4
53qOhGbt0el2uuYqoTEQip,Tsvetelina Yaneva,None,None,Krayat s men,12,2018-12-14T18:23:42Z,0.428,0.774,1,-3.95,0,0.0546,0.108,0.0,0.124,0.34400000000000003,159.688,268500,4
73y1yixSqDMoSda2vsqygN,Ilian,None,None,Zapali,19,2018-12-11T15:53:39Z,0.6000000000000001,0.9450000000000001,9,-4.995,0,0.0473,0.0995,4.9000000000000005e-06,0.443,0.926,156.035,202308,4
2o1kXiul9PXmIFZjBCFixm,Vanya,None,None,Tvoya sam,18,2018-11-02T13:00:05Z,0.655,0.922,10,-4.196,0,0.0461,0.0181,0.0,0.157,0.924,159.922,224387,4
6oeszdgeCz5gygJaaBLpd1,Ilian,Penko Malakov,None,Puk-puk,7,2018-11-07T14:23:21Z,0.497,0.968,9,-4.441,0,0.111,0.0442,0.0,0.33,0.777,133.605,196808,3
69UUy8TKlV6Aj3QPbwumm6,Ilian,None,None,Rambo,23,2018-05-19T12:00:06Z,0.743,0.89,7,-3.767,1,0.149,0.0409,0.0,0.272,0.732,93.979,197872,4
2gxmtyrtXsXSuE7QrtpyMk,Gloria,None,None,Ne te davam,1,2018-07-19T13:52:51Z,0.669,0.868,1,-4.213,0,0.051500000000000004,0.054900000000000004,2.05e-05,0.060700000000000004,0.606,95.99,250625,4
4cdFBvbVbBkguPLVySQuyT,Boris Dali,None,None,Milioner,16,2018-07-31T09:26:06Z,0.529,0.874,0,-5.146,1,0.0666,0.00301,0.0,0.131,0.836,175.049,200914,4
7KtHu8O8H5AGa3fUMlnv7V,Sonya Nemska,None,None,Tya e top,19,2018-06-07T15:02:22Z,0.558,0.9520000000000001,5,-1.347,0,0.0804,0.121,0.0,0.124,0.781,180.054,239833,4
201AOKG3m0Nv5c4ca92zjW,Kalippo X Nigi,None,None,Papaya,7,2018-07-13T13:27:13Z,0.5660000000000001,0.533,9,-10.555,0,0.165,0.845,0.018600000000000002,0.106,0.524,152.114,155058,4
0NjlOq5aFv5bjcGOYu1fap,Maria,None,None,Tochno kak,12,2018-03-23T14:51:00Z,0.766,0.8290000000000001,2,-5.013,0,0.0702,0.056400000000000006,0.0132,0.0648,0.895,95.991,240625,4
4ppFUGvyKftM32wbvRwZCM,Kali,None,None,Sreden prast,7,2018-05-04T15:46:41Z,0.765,0.87,7,-4.086,1,0.0763,0.0291,0.0,0.203,0.558,95.986,212500,4
5618hCvUJeYE2RPrCyHx5a,Maria,None,None,Moeto momche,17,2018-12-27T11:54:51Z,0.6950000000000001,0.859,0,-3.834,1,0.049,0.039400000000000004,0.00126,0.369,0.85,74.991,234400,4
1qsYjgnTDPf4jo06Tm0boK,Gloria,None,None,Nyuansi sivo,3,2018-06-04T14:00:07Z,0.721,0.872,6,-6.063,0,0.0487,0.0149,3.1299999999999997e-06,0.0374,0.797,130.034,238997,4
